"","Week_index","Region","value"
"433",609,"Emilia-Romagna",98.90625
"434",609,"Puglia",77.9
"435",609,"Sicily",NA
"436",610,"Autonomous Province of Trento",39.7857142857143
"437",610,"Canton of Ticino",20
"438",610,"Emilia-Romagna",103.15625
"439",610,"Puglia",34
"440",610,"Sicily",NA
"441",611,"Autonomous Province of Trento",22.6428571428571
"442",611,"Canton of Ticino",19.125
"443",611,"Emilia-Romagna",107.53125
"444",611,"Puglia",25.3
"445",611,"Sicily",NA
"446",612,"Autonomous Province of Trento",13.2142857142857
"447",612,"Canton of Ticino",12.5
"448",612,"Emilia-Romagna",76.78125
"449",612,"Puglia",74
"450",612,"Sicily",NA
"451",613,"Autonomous Province of Trento",16.2857142857143
"452",613,"Canton of Ticino",3.5
"453",613,"Emilia-Romagna",74.3125
"454",613,"Puglia",14.2
"455",613,"Sicily",NA
"456",614,"Autonomous Province of Trento",16.2142857142857
"457",614,"Canton of Ticino",NA
"458",614,"Emilia-Romagna",NA
"459",614,"Puglia",12.7
"460",614,"Sicily",NA
"461",615,"Autonomous Province of Trento",10.7857142857143
"462",615,"Canton of Ticino",NA
"463",615,"Emilia-Romagna",NA
"464",615,"Puglia",20.7
"465",615,"Sicily",NA
"466",616,"Autonomous Province of Trento",0
"467",616,"Canton of Ticino",NA
"468",616,"Emilia-Romagna",NA
"469",616,"Puglia",6
"470",616,"Sicily",NA
"471",617,"Autonomous Province of Trento",0
"472",617,"Canton of Ticino",NA
"473",617,"Emilia-Romagna",NA
"474",617,"Puglia",4.7
"475",617,"Sicily",NA
"476",618,"Autonomous Province of Trento",0
"477",618,"Canton of Ticino",0
"478",618,"Emilia-Romagna",0
"479",618,"Puglia",0
"480",618,"Sicily",NA
"481",619,"Autonomous Province of Trento",0
"482",619,"Canton of Ticino",0
"483",619,"Emilia-Romagna",0
"484",619,"Puglia",0
"485",619,"Sicily",NA
"486",620,"Autonomous Province of Trento",0
"487",620,"Canton of Ticino",0
"488",620,"Emilia-Romagna",0
"489",620,"Puglia",0
"490",620,"Sicily",NA
"491",621,"Autonomous Province of Trento",0
"492",621,"Canton of Ticino",0
"493",621,"Emilia-Romagna",0
"494",621,"Puglia",0
"495",621,"Sicily",NA
"496",622,"Autonomous Province of Trento",0
"497",622,"Canton of Ticino",0
"498",622,"Emilia-Romagna",0
"499",622,"Puglia",0
"500",622,"Sicily",NA
"501",623,"Autonomous Province of Trento",0
"502",623,"Canton of Ticino",0
"503",623,"Emilia-Romagna",0
"504",623,"Puglia",0
"505",623,"Sicily",NA
"506",624,"Autonomous Province of Trento",0
"507",624,"Canton of Ticino",0
"508",624,"Emilia-Romagna",0
"509",624,"Puglia",0
"510",624,"Sicily",NA
"511",625,"Autonomous Province of Trento",0
"512",625,"Canton of Ticino",0
"513",625,"Emilia-Romagna",0
"514",625,"Puglia",0
"515",625,"Sicily",NA
"516",626,"Autonomous Province of Trento",0
"517",626,"Canton of Ticino",0
"518",626,"Emilia-Romagna",0
"519",626,"Puglia",0
"520",626,"Sicily",NA
"521",627,"Autonomous Province of Trento",NA
"522",627,"Canton of Ticino",NA
"523",627,"Emilia-Romagna",0
"524",627,"Puglia",NA
"525",627,"Sicily",NA
"526",628,"Autonomous Province of Trento",0
"527",628,"Canton of Ticino",0
"528",628,"Emilia-Romagna",0
"529",628,"Sicily",NA
"530",629,"Autonomous Province of Trento",0
"531",629,"Canton of Ticino",0
"532",629,"Emilia-Romagna",0
"533",629,"Sicily",NA
"534",630,"Autonomous Province of Trento",0
"535",630,"Canton of Ticino",0
"536",630,"Emilia-Romagna",0
"537",630,"Sicily",NA
"538",631,"Autonomous Province of Trento",0
"539",631,"Canton of Ticino",0
"540",631,"Emilia-Romagna",0
"541",631,"Sicily",NA
"542",632,"Autonomous Province of Trento",0
"543",632,"Canton of Ticino",0
"544",632,"Emilia-Romagna",0
"545",632,"Sicily",NA
"546",633,"Autonomous Province of Trento",0
"547",633,"Canton of Ticino",0
"548",633,"Emilia-Romagna",0
"549",633,"Sicily",NA
"550",634,"Autonomous Province of Trento",0
"551",634,"Canton of Ticino",0
"552",634,"Emilia-Romagna",0
"553",634,"Sicily",NA
"554",635,"Autonomous Province of Trento",0
"555",635,"Canton of Ticino",0
"556",635,"Emilia-Romagna",0
"557",635,"Sicily",NA
"558",636,"Autonomous Province of Trento",NA
"559",636,"Canton of Ticino",NA
"560",636,"Emilia-Romagna",0
"561",636,"Sicily",NA
"562",637,"Autonomous Province of Trento",NA
"563",637,"Canton of Ticino",NA
"564",637,"Emilia-Romagna",NA
"565",637,"Sicily",NA
"566",638,"Autonomous Province of Trento",NA
"567",638,"Canton of Ticino",NA
"568",638,"Emilia-Romagna",NA
"569",638,"Sicily",NA
"570",639,"Autonomous Province of Trento",NA
"571",639,"Canton of Ticino",NA
"572",639,"Emilia-Romagna",NA
"573",639,"Sicily",NA
"574",640,"Autonomous Province of Trento",NA
"575",640,"Canton of Ticino",NA
"576",640,"Emilia-Romagna",NA
"577",640,"Sicily",NA
"578",641,"Autonomous Province of Trento",NA
"579",641,"Canton of Ticino",NA
"580",641,"Emilia-Romagna",NA
"581",641,"Sicily",NA
"582",642,"Autonomous Province of Trento",NA
"583",642,"Canton of Ticino",NA
"584",642,"Emilia-Romagna",NA
"585",642,"Sicily",NA
"586",643,"Autonomous Province of Trento",NA
"587",643,"Canton of Ticino",NA
"588",643,"Emilia-Romagna",NA
"589",643,"Sicily",NA
"590",644,"Autonomous Province of Trento",NA
"591",644,"Canton of Ticino",NA
"592",644,"Emilia-Romagna",NA
"593",644,"Sicily",NA
"594",645,"Autonomous Province of Trento",NA
"595",645,"Canton of Ticino",NA
"596",645,"Emilia-Romagna",NA
"597",645,"Sicily",NA
"598",646,"Autonomous Province of Trento",NA
"599",646,"Canton of Ticino",NA
"600",646,"Emilia-Romagna",NA
"601",646,"Sicily",NA
"602",647,"Autonomous Province of Trento",NA
"603",647,"Canton of Ticino",NA
"604",647,"Emilia-Romagna",25.5526315789474
"605",647,"Sicily",NA
"606",648,"Autonomous Province of Trento",0
"607",648,"Canton of Ticino",0
"608",648,"Emilia-Romagna",27.5526315789474
"609",648,"Sicily",NA
"610",649,"Autonomous Province of Trento",0
"611",649,"Canton of Ticino",0
"612",649,"Emilia-Romagna",29.9761904761905
"613",649,"Sicily",NA
"614",650,"Autonomous Province of Trento",0.166666666666667
"615",650,"Canton of Ticino",0
"616",650,"Emilia-Romagna",31.452380952381
"617",650,"Sicily",NA
"618",651,"Autonomous Province of Trento",13.9444444444444
"619",651,"Canton of Ticino",1.75
"620",651,"Emilia-Romagna",113.909090909091
"621",651,"Sicily",NA
"622",652,"Autonomous Province of Trento",0.944444444444444
"623",652,"Canton of Ticino",3.25
"624",652,"Emilia-Romagna",113.613636363636
"625",652,"Sicily",NA
"626",653,"Autonomous Province of Trento",11.3888888888889
"627",653,"Canton of Ticino",3.75
"628",653,"Emilia-Romagna",104.545454545455
"629",653,"Sicily",NA
"630",654,"Autonomous Province of Trento",21.1666666666667
"631",654,"Canton of Ticino",1.33333333333333
"632",654,"Emilia-Romagna",104.181818181818
"633",654,"Sicily",NA
"634",655,"Autonomous Province of Trento",11.3888888888889
"635",655,"Canton of Ticino",1.16666666666667
"636",655,"Emilia-Romagna",151.333333333333
"637",655,"Sicily",NA
"638",656,"Autonomous Province of Trento",18.2777777777778
"639",656,"Canton of Ticino",17.5
"640",656,"Emilia-Romagna",158.404761904762
"641",656,"Sicily",NA
"642",657,"Autonomous Province of Trento",12.8888888888889
"643",657,"Canton of Ticino",19.25
"644",657,"Emilia-Romagna",154.75
"645",657,"Sicily",NA
"646",658,"Autonomous Province of Trento",34.7222222222222
"647",658,"Canton of Ticino",36.75
"648",658,"Emilia-Romagna",157.204545454545
"649",658,"Sicily",NA
"650",659,"Autonomous Province of Trento",55.6111111111111
"651",659,"Canton of Ticino",35.75
"652",659,"Emilia-Romagna",137.452380952381
"653",659,"Sicily",NA
"654",660,"Autonomous Province of Trento",52.6111111111111
"655",660,"Canton of Ticino",23.25
"656",660,"Emilia-Romagna",134.547619047619
"657",660,"Sicily",NA
"658",661,"Autonomous Province of Trento",73.7222222222222
"659",661,"Canton of Ticino",23.75
"660",661,"Emilia-Romagna",59.5909090909091
"661",661,"Sicily",NA
"662",662,"Autonomous Province of Trento",81.8888888888889
"663",662,"Canton of Ticino",21.875
"664",662,"Emilia-Romagna",62.3181818181818
"665",662,"Sicily",NA
"666",663,"Autonomous Province of Trento",25.8333333333333
"667",663,"Canton of Ticino",25
"668",663,"Emilia-Romagna",77.5227272727273
"669",663,"Sicily",16
"670",664,"Autonomous Province of Trento",51.4444444444444
"671",664,"Canton of Ticino",4.16666666666667
"672",664,"Emilia-Romagna",83.3409090909091
"673",664,"Sicily",7
"674",665,"Autonomous Province of Trento",26.8333333333333
"675",665,"Canton of Ticino",3.375
"676",665,"Emilia-Romagna",110.722222222222
"677",665,"Sicily",57
