"","Week_index","Province","MOI"
"278",891,"Guangxi",NA
"279",891,"Guizhou",NA
"280",891,"Hunan",NA
"281",892,"Beijing",NA
"282",892,"Guangdong",NA
"283",892,"Guangxi",NA
"284",892,"Guizhou",NA
"285",892,"Hunan",NA
"286",893,"Beijing",NA
"287",893,"Guangdong",NA
"288",893,"Guangxi",NA
"289",893,"Guizhou",NA
"290",893,"Hunan",NA
"291",894,"Beijing",NA
"292",894,"Guangdong",NA
"293",894,"Guangxi",NA
"294",894,"Guizhou",NA
"295",894,"Hunan",NA
"296",895,"Beijing",NA
"297",895,"Guangdong",NA
"298",895,"Guangxi",NA
"299",895,"Guizhou",NA
"300",895,"Hunan",NA
"301",896,"Beijing",NA
"302",896,"Guangdong",NA
"303",896,"Guangxi",NA
"304",896,"Guizhou",NA
"305",896,"Hunan",NA
"306",897,"Beijing",NA
"307",897,"Guangdong",1.906542056
"308",897,"Guangxi",NA
"309",897,"Guizhou",NA
"310",897,"Hunan",NA
"311",898,"Beijing",NA
"312",898,"Guangdong",1.906542056
"313",898,"Guangxi",NA
"314",898,"Guizhou",NA
"315",898,"Hunan",NA
"316",899,"Beijing",NA
"317",899,"Guangdong",2.03471295028571
"318",899,"Guangxi",NA
"319",899,"Guizhou",NA
"320",899,"Hunan",NA
"321",900,"Beijing",NA
"322",900,"Guangdong",2.130841121
"323",900,"Guangxi",NA
"324",900,"Guizhou",NA
"325",900,"Hunan",NA
"326",901,"Beijing",NA
"327",901,"Guangdong",2.60080106785714
"328",901,"Guangxi",2.932432432
"329",901,"Guizhou",NA
"330",901,"Hunan",NA
"331",902,"Beijing",NA
"332",902,"Guangdong",3.775700935
"333",902,"Guangxi",2.932432432
"334",902,"Guizhou",NA
"335",902,"Hunan",NA
"336",903,"Beijing",NA
"337",903,"Guangdong",3.75433911914286
"338",903,"Guangxi",3.02702702671429
"339",903,"Guizhou",NA
"340",903,"Hunan",NA
"341",904,"Beijing",NA
"342",904,"Guangdong",3.626168224
"343",904,"Guangxi",3.594594595
"344",904,"Guizhou",NA
"345",904,"Hunan",NA
"346",905,"Beijing",NA
"347",905,"Guangdong",3.626168224
"348",905,"Guangxi",3.594594595
"349",905,"Guizhou",NA
"350",905,"Hunan",NA
"351",906,"Beijing",NA
"352",906,"Guangdong",5.08411215
"353",906,"Guangxi",8.986486486
"354",906,"Guizhou",4.61
"355",906,"Hunan",1.35
"356",907,"Beijing",NA
"357",907,"Guangdong",5.08411215
"358",907,"Guangxi",8.986486486
"359",907,"Guizhou",4.61
"360",907,"Hunan",1.35
"361",908,"Beijing",NA
"362",908,"Guangdong",5.24432576742857
"363",908,"Guangxi",7.12162162171429
"364",908,"Guizhou",4.61
"365",908,"Hunan",1.35
"366",909,"Beijing",NA
"367",909,"Guangdong",5.271028037
"368",909,"Guangxi",6.810810811
"369",909,"Guizhou",4.61
"370",909,"Hunan",1.35
"371",910,"Beijing",2.34
"372",910,"Guangdong",5.975967957
"373",910,"Guangxi",7.67567567557143
"374",910,"Guizhou",6.31285714285714
"375",910,"Hunan",2.73285714285714
"376",911,"Beijing",2.34
"377",911,"Guangdong",6.504672897
"378",911,"Guangxi",8.324324324
"379",911,"Guizhou",7.59
"380",911,"Hunan",3.77
"381",912,"Beijing",2.34
"382",912,"Guangdong",6.39252336428571
"383",912,"Guangxi",11.8513513494286
"384",912,"Guizhou",7.59
"385",912,"Hunan",3.77
"386",913,"Beijing",2.34
"387",913,"Guangdong",6.242990654
"388",913,"Guangxi",16.55405405
"389",913,"Guizhou",7.59
"390",913,"Hunan",3.77
"391",914,"Beijing",3.8
"392",914,"Guangdong",6.20026702257143
"393",914,"Guangxi",14.4459459431429
"394",914,"Guizhou",7.54428571428571
"395",914,"Hunan",4.29
"396",915,"Beijing",7.45
"397",915,"Guangdong",6.093457944
"398",915,"Guangxi",9.175675676
"399",915,"Guizhou",7.43
"400",915,"Hunan",5.59
"401",916,"Beijing",7.45
"402",916,"Guangdong",6.14152202942857
"403",916,"Guangxi",10.3108108108571
"404",916,"Guizhou",7.43
"405",916,"Hunan",5.59
"406",917,"Beijing",7.45
"407",917,"Guangdong",6.429906542
"408",917,"Guangxi",17.12162162
"409",917,"Guizhou",7.43
"410",917,"Hunan",5.59
"411",918,"Beijing",7.45
"412",918,"Guangdong",6.429906542
"413",918,"Guangxi",17.12162162
"414",918,"Guizhou",7.43
"415",918,"Hunan",5.59
"416",919,"Beijing",10.2871428571429
"417",919,"Guangdong",6.68624833142857
"418",919,"Guangxi",8.60810810771429
"419",919,"Guizhou",5.99
"420",919,"Hunan",5.23857142857143
"421",920,"Beijing",10.76
"422",920,"Guangdong",6.728971963
"423",920,"Guangxi",7.189189189
"424",920,"Guizhou",5.75
"425",920,"Hunan",5.18
"426",921,"Beijing",10.76
"427",921,"Guangdong",6.03471295085714
"428",921,"Guangxi",9.95945946114286
"429",921,"Guizhou",5.75
"430",921,"Hunan",5.18
"431",922,"Beijing",10.76
"432",922,"Guangdong",5.757009346
"433",922,"Guangxi",11.06756757
"434",922,"Guizhou",5.75
"435",922,"Hunan",5.18
"436",923,"Beijing",7.73
"437",923,"Guangdong",5.62883845128571
"438",923,"Guangxi",9.89189189314286
"439",923,"Guizhou",5.60857142857143
"440",923,"Hunan",5.84
"441",924,"Beijing",3.69
"442",924,"Guangdong",5.457943925
"443",924,"Guangxi",8.324324324
"444",924,"Guizhou",5.42
"445",924,"Hunan",6.72
"446",925,"Beijing",3.69
"447",925,"Guangdong",6.03471295042857
"448",925,"Guangxi",10.0270270257143
"449",925,"Guizhou",5.42
"450",925,"Hunan",6.72
"451",926,"Beijing",3.69
"452",926,"Guangdong",7.476635514
"453",926,"Guangxi",14.28378378
"454",926,"Guizhou",5.42
"455",926,"Hunan",6.72
"456",927,"Beijing",3.69
"457",927,"Guangdong",7.16154873157143
"458",927,"Guangxi",12.74324324
"459",927,"Guizhou",5.23
"460",927,"Hunan",6.29714285714286
"461",928,"Beijing",NA
"462",928,"Guangdong",5.271028037
"463",928,"Guangxi",3.5
"464",928,"Guizhou",4.09
"465",928,"Hunan",3.76
"466",929,"Beijing",NA
"467",929,"Guangdong",5.271028037
"468",929,"Guangxi",3.5
"469",929,"Guizhou",4.09
"470",929,"Hunan",3.76
"471",930,"Beijing",NA
"472",930,"Guangdong",4.448598131
"473",930,"Guangxi",3.405405405
"474",930,"Guizhou",4.09
"475",930,"Hunan",3.76
"476",931,"Beijing",NA
"477",931,"Guangdong",4.448598131
"478",931,"Guangxi",3.405405405
"479",931,"Guizhou",4.09
"480",931,"Hunan",3.76
"481",932,"Beijing",NA
"482",932,"Guangdong",3.30040053385714
"483",932,"Guangxi",2.12162162142857
"484",932,"Guizhou",4.09
"485",932,"Hunan",3.76
"486",933,"Beijing",NA
"487",933,"Guangdong",2.841121495
"488",933,"Guangxi",1.608108108
"489",933,"Guizhou",NA
"490",933,"Hunan",NA
"491",934,"Beijing",NA
"492",934,"Guangdong",2.81975967957143
"493",934,"Guangxi",0.689189189142857
"494",934,"Guizhou",NA
"495",934,"Hunan",NA
"496",935,"Beijing",NA
"497",935,"Guangdong",2.803738318
"498",935,"Guangxi",0
"499",935,"Guizhou",NA
"500",935,"Hunan",NA
"501",936,"Beijing",NA
"502",936,"Guangdong",2.803738318
"503",936,"Guangxi",0
"504",936,"Guizhou",NA
"505",936,"Hunan",NA
"506",937,"Beijing",NA
"507",937,"Guangdong",NA
"508",937,"Guangxi",NA
"509",937,"Guizhou",NA
"510",937,"Hunan",NA
"511",938,"Beijing",NA
"512",938,"Guangdong",NA
"513",938,"Guangxi",NA
"514",938,"Guizhou",NA
"515",938,"Hunan",NA
"516",939,"Beijing",NA
"517",939,"Guangdong",NA
"518",939,"Guangxi",NA
"519",939,"Guizhou",NA
"520",939,"Hunan",NA
"521",940,"Beijing",NA
"522",940,"Guangdong",NA
"523",940,"Guangxi",NA
"524",940,"Guizhou",NA
"525",940,"Hunan",NA
"526",941,"Beijing",NA
"527",941,"Guangdong",NA
"528",941,"Guangxi",NA
"529",941,"Guizhou",NA
"530",941,"Hunan",NA
"531",942,"Beijing",NA
"532",942,"Guangdong",NA
"533",942,"Guangxi",NA
"534",942,"Guizhou",NA
"535",942,"Hunan",NA
"536",943,"Beijing",NA
"537",943,"Guangdong",NA
"538",943,"Guangxi",NA
"539",943,"Guizhou",NA
"540",943,"Hunan",NA
"541",944,"Beijing",NA
"542",944,"Guangdong",NA
"543",944,"Guangxi",NA
"544",944,"Guizhou",NA
"545",944,"Hunan",NA
"546",945,"Beijing",NA
"547",945,"Guangdong",NA
"548",945,"Guangxi",NA
"549",945,"Guizhou",NA
"550",945,"Hunan",NA
"551",946,"Beijing",NA
"552",946,"Guangdong",NA
"553",946,"Guangxi",NA
"554",946,"Guizhou",NA
"555",946,"Hunan",NA
"556",947,"Beijing",NA
"557",947,"Guangdong",NA
"558",947,"Guangxi",NA
"559",947,"Guizhou",NA
"560",947,"Hunan",NA
"561",948,"Beijing",NA
"562",948,"Guangdong",NA
"563",948,"Guangxi",NA
"564",948,"Guizhou",NA
"565",948,"Hunan",NA
"566",949,"Beijing",NA
"567",949,"Guangdong",2.018691589
"568",949,"Guangxi",NA
"569",949,"Guizhou",NA
"570",949,"Hunan",NA
"571",950,"Beijing",NA
"572",950,"Guangdong",2.018691589
"573",950,"Guangxi",NA
"574",950,"Guizhou",NA
"575",950,"Hunan",NA
"576",951,"Beijing",NA
"577",951,"Guangdong",2.275033378
"578",951,"Guangxi",NA
"579",951,"Guizhou",NA
"580",951,"Hunan",NA
"581",952,"Beijing",NA
"582",952,"Guangdong",2.61682243
"583",952,"Guangxi",NA
"584",952,"Guizhou",NA
"585",952,"Hunan",NA
"586",953,"Beijing",NA
"587",953,"Guangdong",2.75033377842857
"588",953,"Guangxi",2.459459459
"589",953,"Guizhou",NA
"590",953,"Hunan",NA
"591",954,"Beijing",NA
"592",954,"Guangdong",3.551401869
"593",954,"Guangxi",2.459459459
"594",954,"Guizhou",NA
"595",954,"Hunan",NA
"596",955,"Beijing",NA
"597",955,"Guangdong",3.551401869
"598",955,"Guangxi",2.459459459
"599",955,"Guizhou",NA
"600",955,"Hunan",NA
"601",956,"Beijing",NA
"602",956,"Guangdong",3.102803738
"603",956,"Guangxi",2.081081081
"604",956,"Guizhou",NA
"605",956,"Hunan",NA
"606",957,"Beijing",NA
"607",957,"Guangdong",3.102803738
"608",957,"Guangxi",2.081081081
"609",957,"Guizhou",NA
"610",957,"Hunan",NA
"611",958,"Beijing",NA
"612",958,"Guangdong",4.672897196
"613",958,"Guangxi",6.21621621585714
"614",958,"Guizhou",4.71
"615",958,"Hunan",1.44
"616",959,"Beijing",NA
"617",959,"Guangdong",4.934579439
"618",959,"Guangxi",6.905405405
"619",959,"Guizhou",4.71
"620",959,"Hunan",1.44
"621",960,"Beijing",NA
"622",960,"Guangdong",6.80373831757143
"623",960,"Guangxi",12.8513513514286
"624",960,"Guizhou",4.71
"625",960,"Hunan",1.44
"626",961,"Beijing",NA
"627",961,"Guangdong",7.551401869
"628",961,"Guangxi",15.22972973
"629",961,"Guizhou",4.71
"630",961,"Hunan",1.44
"631",962,"Beijing",1.27
"632",962,"Guangdong",6.79839786357143
"633",962,"Guangxi",13.8918918928571
"634",962,"Guizhou",5.57571428571429
"635",962,"Hunan",1.8
"636",963,"Beijing",1.27
"637",963,"Guangdong",5.794392523
"638",963,"Guangxi",12.10810811
"639",963,"Guizhou",6.73
"640",963,"Hunan",2.28
"641",964,"Beijing",1.27
"642",964,"Guangdong",5.83711615471429
"643",964,"Guangxi",11.5135135157143
"644",964,"Guizhou",6.73
"645",964,"Hunan",2.28
"646",965,"Beijing",1.27
"647",965,"Guangdong",5.943925234
"648",965,"Guangxi",10.02702703
"649",965,"Guizhou",6.73
"650",965,"Hunan",2.28
"651",966,"Beijing",1.65857142857143
"652",966,"Guangdong",6.13618157571429
"653",966,"Guangxi",9.75675675928571
"654",966,"Guizhou",7.09428571428571
"655",966,"Hunan",2.69428571428571
"656",967,"Beijing",3.99
"657",967,"Guangdong",7.289719626
"658",967,"Guangxi",8.135135135
"659",967,"Guizhou",9.28
"660",967,"Hunan",5.18
"661",968,"Beijing",3.99
"662",968,"Guangdong",7.289719626
"663",968,"Guangxi",8.135135135
"664",968,"Guizhou",9.28
"665",968,"Hunan",5.18
"666",969,"Beijing",3.99
"667",969,"Guangdong",6.841121495
"668",969,"Guangxi",5.391891892
"669",969,"Guizhou",9.28
"670",969,"Hunan",5.18
"671",970,"Beijing",3.99
"672",970,"Guangdong",6.841121495
"673",970,"Guangxi",5.391891892
"674",970,"Guizhou",9.28
"675",970,"Hunan",5.18
"676",971,"Beijing",7.36142857142857
"677",971,"Guangdong",7.21495327071429
"678",971,"Guangxi",7.55405405414286
"679",971,"Guizhou",9.08714285714286
"680",971,"Hunan",3.90857142857143
"681",972,"Beijing",8.71
"682",972,"Guangdong",7.364485981
"683",972,"Guangxi",8.418918919
"684",972,"Guizhou",9.01
"685",972,"Hunan",3.4
"686",973,"Beijing",8.71
"687",973,"Guangdong",6.95861148157143
"688",973,"Guangxi",8.85135135157143
"689",973,"Guizhou",9.01
"690",973,"Hunan",3.4
"691",974,"Beijing",8.71
"692",974,"Guangdong",6.654205607
"693",974,"Guangxi",9.175675676
"694",974,"Guizhou",9.01
"695",974,"Hunan",3.4
"696",975,"Beijing",7.61
"697",975,"Guangdong",6.846461949
"698",975,"Guangxi",8.12162162171428
"699",975,"Guizhou",8.10428571428571
"700",975,"Hunan",3.51714285714286
"701",976,"Beijing",4.86
"702",976,"Guangdong",7.327102804
"703",976,"Guangxi",5.486486486
"704",976,"Guizhou",5.84
"705",976,"Hunan",3.81
"706",977,"Beijing",4.86
"707",977,"Guangdong",7.05473965314286
"708",977,"Guangxi",5.51351351314286
"709",977,"Guizhou",5.84
"710",977,"Hunan",3.81
"711",978,"Beijing",4.86
"712",978,"Guangdong",5.420560748
"713",978,"Guangxi",5.675675676
"714",978,"Guizhou",5.84
"715",978,"Hunan",3.81
"716",979,"Beijing",4.86
"717",979,"Guangdong",5.420560748
"718",979,"Guangxi",5.675675676
"719",979,"Guizhou",5.84
